name,rubble_type,side,container,row,column,label
1_cca_bottom,cca,bottom,1,1411,1024,cb
1_cca_bottom,cca,bottom,1,1519,971,cb
1_cca_bottom,cca,bottom,1,1466,714,bb
1_cca_bottom,cca,bottom,1,1422,911,cb
1_cca_bottom,cca,bottom,1,1667,879,cb
1_cca_bottom,cca,bottom,1,1449,695,bb
1_cca_bottom,cca,bottom,1,1340,819,cb
1_cca_bottom,cca,bottom,1,1565,869,cb
1_cca_bottom,cca,bottom,1,1720,983,cb
1_cca_bottom,cca,bottom,1,1651,1115,cb
1_cca_bottom,cca,bottom,1,1463,623,bb
1_cca_bottom,cca,bottom,1,1537,669,bb
1_cca_bottom,cca,bottom,1,1409,696,bb
1_cca_bottom,cca,bottom,1,1555,1110,cb
1_cca_bottom,cca,bottom,1,1407,615,bb
1_cca_bottom,cca,bottom,1,1366,1503,cb
1_cca_bottom,cca,bottom,1,1757,1215,cs
1_cca_bottom,cca,bottom,1,1587,1662,cb
1_cca_bottom,cca,bottom,1,1611,1476,cb
1_cca_bottom,cca,bottom,1,1404,1546,cb
1_cca_bottom,cca,bottom,1,1428,1326,cb
1_cca_bottom,cca,bottom,1,1341,1278,cb
1_cca_bottom,cca,bottom,1,1528,1507,cb
1_cca_bottom,cca,bottom,1,1737,1342,cs
1_cca_bottom,cca,bottom,1,1641,1446,bb
1_cca_bottom,cca,bottom,1,1370,1358,cb
1_cca_bottom,cca,bottom,1,1698,1175,cb
1_cca_bottom,cca,bottom,1,1693,1406,bb
1_cca_bottom,cca,bottom,1,1761,1611,cb
1_cca_bottom,cca,bottom,1,1675,1480,cb
1_cca_bottom,cca,bottom,1,1468,1584,cb
1_cca_bottom,cca,bottom,1,1341,1692,cb
1_cca_bottom,cca,bottom,1,1568,1319,cb
1_cca_bottom,cca,bottom,1,1605,1317,cb
1_cca_bottom,cca,bottom,1,1346,1504,cb
1_cca_bottom,cca,bottom,1,1525,1516,cb
1_cca_bottom,cca,bottom,1,1743,2116,cb
1_cca_bottom,cca,bottom,1,1495,1943,cb
1_cca_bottom,cca,bottom,1,1591,1878,cb
1_cca_bottom,cca,bottom,1,1541,1920,cb
1_cca_bottom,cca,bottom,1,1743,1831,cb
1_cca_bottom,cca,bottom,1,1619,2026,cb
1_cca_bottom,cca,bottom,1,1762,1922,cb
1_cca_bottom,cca,bottom,1,1557,2242,cb
1_cca_bottom,cca,bottom,1,1739,1942,cb
1_cca_bottom,cca,bottom,1,1623,1771,cb
1_cca_bottom,cca,bottom,1,1391,2270,cb
1_cca_bottom,cca,bottom,1,1532,2146,cb
1_cca_bottom,cca,bottom,1,1367,2378,cb
1_cca_bottom,cca,bottom,1,1353,2291,cb
1_cca_bottom,cca,bottom,1,1397,2620,cs
1_cca_bottom,cca,bottom,1,1604,2825,x
1_cca_bottom,cca,bottom,1,1429,2594,cs
1_cca_bottom,cca,bottom,1,1674,2469,cs
1_cca_bottom,cca,bottom,1,1354,2412,cb
1_cca_bottom,cca,bottom,1,1387,2744,cs
1_cca_bottom,cca,bottom,1,1557,2703,cs
1_cca_bottom,cca,bottom,1,1580,2429,cs
1_cca_bottom,cca,bottom,1,1724,2477,cs
1_cca_bottom,cca,bottom,1,1683,2814,x
1_cca_bottom,cca,bottom,1,1544,2690,cs
1_cca_bottom,cca,bottom,1,1759,2769,x
1_cca_bottom,cca,bottom,1,1602,2430,cs
1_cca_bottom,cca,bottom,1,1386,2346,cb
1_cca_bottom,cca,bottom,1,1432,2585,cs
1_cca_bottom,cca,bottom,1,2005,149,x
1_cca_bottom,cca,bottom,1,2013,144,x
1_cca_bottom,cca,bottom,1,2129,38,x
1_cca_bottom,cca,bottom,1,2018,361,x
1_cca_bottom,cca,bottom,1,2037,143,x
1_cca_bottom,cca,bottom,1,1781,350,cs
1_cca_bottom,cca,bottom,1,1876,247,x
1_cca_bottom,cca,bottom,1,2053,166,x
1_cca_bottom,cca,bottom,1,1895,568,cs
1_cca_bottom,cca,bottom,1,1811,22,x
1_cca_bottom,cca,bottom,1,2056,6,x
